Model,Performance
AMD EPYC 9655P,158845
AMD Ryzen Threadripper PRO 7995WX,153598
AMD Ryzen Threadripper 7980X,133902
AMD Ryzen Threadripper PRO 7985WX,133194
AMD EPYC 9684X,120760
AMD EPYC 9654,120295
AMD EPYC 9R14,116475
AMD EPYC 9654P,113949
AMD EPYC 9554,111794
AMD EPYC 9554P,110733
AMD EPYC 9634,107944
AMD EPYC 9474F,105010
AMD EPYC 9754,100460
Intel Xeon w9-3595X,99993
AMD Ryzen Threadripper 7970X,98685
AMD EPYC 9454P,95863
AMD Ryzen Threadripper PRO 7975WX,95623
AMD EPYC 9454,95582
AMD EPYC 9534,93884
AMD Ryzen Threadripper PRO 5995WX,93192
Intel Xeon w9-3495X,91936
AMD EPYC 7773X,91491
Intel Xeon Platinum 8470 @2.00GHz,89850
Intel Xeon Platinum 8488C,88667
Intel Xeon Max 9480,86539
AMD EPYC 7J13,84786
AMD EPYC 7763,84557
Intel Xeon Platinum 8592+,84013
AMD Ryzen Threadripper PRO 3995WX,83697
AMD Ryzen Threadripper 7960X,83645
AMD EPYC 7V13,82878
AMD EPYC 7713,82825
Intel Xeon w9-3575X,82624
AMD EPYC 7R13 64-Core,82158
AMD EPYC 7663,82087
AMD EPYC 7T83,81757
AMD EPYC 7713P,81201
AMD Ryzen Threadripper PRO 7965WX,81033
AMD EPYC 7R43,80721
AMD Ryzen Threadripper 3990X,80659
AMD EPYC 9374F,79826
AMD EPYC 7B13,77460
Intel Xeon w7-3565X,76649
AMD EPYC 9354P,76605
Intel Xeon 6740E,76167
AMD EPYC 7643,76050
AMD Ryzen Threadripper PRO 5975WX,75654
Intel Xeon Platinum 8461V,74982
AMD EPYC 9274F,73582
AMD EPYC 7662,72298
AMD EPYC 8534P,71900
AMD EPYC 7C13,70474
AMD EPYC 7702,70107
AMD EPYC 7742,69917
AMD EPYC 9354,69825
AMD EPYC 7H12,69633
AMD EPYC 7573X,69432
Intel Core Ultra 9 285K,68716
AMD EPYC 75F3,68505
Intel Xeon Platinum 8571N,68385
AMD EPYC 9254,67847
AMD EPYC 7543P,66687
AMD Ryzen Threadripper PRO 5965WX,66680
AMD EPYC 8434P,66490
AMD Ryzen 9 9950X,66372
AMD EPYC 7B12,66044
Intel Xeon w7-3465X,65618
Intel Xeon Gold 6530,65533
AMD EPYC 9334,64841
Intel Xeon w9-3475X,64752
AMD EPYC 7R32,64727
AMD EPYC 7702P,63300
AMD Ryzen Threadripper 3970X,63068
AMD Ryzen 9 7950X,62705
AMD Ryzen 9 7950X3D,62515
AMD Ryzen Threadripper PRO 3975WX,62485
Intel Core i9-14900KS,62358
Intel Xeon Platinum 8454H,62347
Intel Xeon Platinum 8380 @ 2.30GHz,62318
AMD EPYC 4564P,62061
Intel Core i9-13900KS,61535
Intel Xeon w7-2575X,61402
AMD EPYC 7552,61282
AMD EPYC 7543,60901
AMD EPYC 74F3,60666
Intel Xeon Gold 6448Y,60449
Intel Xeon Gold 5512U,60365
Intel Core i9-14900K,60089
AMD EPYC 4584PX,60033
Intel Core Ultra 7 265KF,59759
Intel Core i9-14900KF,59554
AMD Ryzen Threadripper PRO 7955WX,59507
AMD EPYC 7513,59285
AMD EPYC 7473X,59280
Intel Xeon W-3375 @ 2.50GHz,59091
Intel Xeon W-3365 @ 2.70GHz,59038
AMD EPYC 7K62,59015
Intel Core i9-13900K,58998
Intel Core Ultra 7 265K,58946
Intel Xeon Gold 6421N,58797
AMD EPYC 7642,58795
Intel Xeon w7-3455,58393
Intel Core i9-13900KF,58304
Intel Xeon w7-2495X,58228
Intel Xeon Gold 5420+,58209
AMD Ryzen 9 7945HX3D,58008
Intel Xeon Gold 6442Y,57986
Intel Xeon Gold 6423N,57434
Intel Xeon Gold 6414U,57200
AMD EPYC 8324P,57127
AMD EPYC 7443P,56966
Intel Xeon w5-2565X,56739
AMD EPYC 7443,56601
Intel Xeon Platinum 8375C @ 2.90GHz,56202
AMD EPYC 9174F,55485
Intel Xeon w7-2475X,55249
AMD Ryzen Threadripper 3960X,54895
AMD Ryzen 9 9900X,54723
AMD Ryzen 9 7945HX,54711
Intel Xeon Platinum 8358 @ 2.60GHz,54416
Intel Xeon Platinum 8360Y @ 2.40GHz,54078
AMD Ryzen 9 7940HX,54040
Intel Core i7-14700KF,53727
Intel Core i7-14700K,53234
Intel Xeon Gold 6438N,52789
AMD EPYC 7532,52755
AMD EPYC 7F72,52597
Intel Xeon Gold 5412U,52557
Intel Xeon Gold 6348 @ 2.60GHz,52276
Intel Xeon w5-2555X,51912
AMD Ryzen 9 7900X,51680
Intel Core i9-13900F,51201
AMD EPYC 4484PX,51115
AMD EPYC 7502P,50818
AMD EPYC 7453,50575
AMD Ryzen 9 7900X3D,50404
AMD EPYC 9184X,50344
AMD EPYC 7413,50223
AMD Ryzen Threadripper PRO 5955WX,50086
AMD Ryzen Threadripper PRO 7945WX,49629
Intel Xeon Platinum 8347C @ 2.10GHz,49386
AMD EPYC 7R12,48934
AMD Ryzen 9 7900,48821
AMD EPYC 4464P,48518
Intel Xeon w7-3445,48186
Intel Core i9-14900,48071
Intel Xeon Gold 6314U @ 2.30GHz,48013
AMD EPYC 7502,47983
AMD Ryzen 9 PRO 7945,47830
Intel Xeon Gold 6342 @ 2.80GHz,47320
Intel Core i9-13980HX,47229
Intel Core i9-14900F,47070
Intel Core i9-13900,46951
Intel Xeon w5-2465X,46906
Intel Xeon Platinum 8368Q @ 2.60GHz,46681
Intel Core i7-13700KF,46546
Intel Core i7-13700K,46383
Intel Core i7-13790F,46309
Intel Xeon Silver 4416+,46208
Intel Xeon w5-3435X,46172
AMD EPYC 73F3,46103
Intel Xeon Gold 6526Y,46025
AMD EPYC 7402,46012
AMD Ryzen 9 7845HX,45709
Intel Xeon W-3345 @ 3.00GHz,45694
Intel Core i9-14900HX,45654
AMD Ryzen 9 5950X,45605
Intel Xeon Gold 6336Y @ 2.40GHz,45517
AMD EPYC 8224P,45160
AMD Ryzen 7 7840HX,45042
AMD EPYC 7542,45003
AMD EPYC 7452,44996
Intel Xeon Gold 6538N,44895
AMD Ryzen 9 5900XT,44735
Intel Xeon Gold 5418Y,44487
Intel Core Ultra 5 245KF,44203
Intel Core i9-13900T,44125
Intel Core i9-13900HX,44084
AMD EPYC 7402P,44070
Intel Core i9-12900KS,43999
AMD EPYC 9124,43963
Intel Core Ultra 5 245K,43682
AMD EPYC 7343,43561
Intel Core i9-13950HX,43492
Intel Core i7-14700F,43454
Intel Core i7-14700,43069
Intel Xeon Gold 6330 @ 2.00GHz,43056
AMD EPYC 7D12,43032
AMD EPYC 9224,42448
Intel Xeon Gold 6312U @ 2.40GHz,42124
Intel Xeon Gold 6338N @ 2.20GHz,42086
Intel Xeon w5-2545,41688
AMD EPYC 7313P,41609
Intel Core i9-12900K,41470
Intel Xeon Gold 6354 @ 3.00GHz,41445
AMD EPYC 7F52,41322
Intel Core i9-12900KF,41113
Intel Xeon W-3275 @ 2.50GHz,40931
Intel Xeon Platinum 8275CL @ 3.00GHz,40794
Intel Xeon Gold 6416H,40606
AMD Ryzen Threadripper PRO 5945WX,40561
Intel Xeon W-3175X @ 3.10GHz,40375
AMD EPYC 7352,40370
AMD Ryzen Threadripper PRO 3955WX,40274
Intel Xeon Gold 6258R @ 2.70GHz,40252
AMD Ryzen 7 9800X3D,40216
Intel Xeon W-3275M @ 2.50GHz,39946
Intel Core i9-14900T,39300
Intel Xeon W-3335 @ 3.40GHz,39293
Intel Core i5-14600KF,39231
AMD Ryzen 9 5900X,39109
AMD EPYC 7313,39091
Intel Core i7-13700F,38999
Intel Core i5-14600K,38941
AMD Ryzen 9 3950X,38733
Intel Xeon Platinum 8180 @ 2.50GHz,38259
Intel Xeon Gold 6426Y,38159
AMD EPYC 7551P,38126
Intel Core i7-13850HX,38031
Intel Core i5-13600K,37899
Intel Core i5-13600KF,37808
Intel Xeon w5-2455X,37802
Intel Xeon Gold 6346 @ 3.10GHz,37665
Intel Xeon Gold 5320 @ 2.20GHz,37558
Intel Xeon Gold 6238R @ 2.20GHz,37511
Intel Core i7-14700HX,37389
AMD Ryzen 7 9700X,37249
Intel Core i7-13700,36940
Intel Xeon w5-3425,36867
AMD EPYC 8124P,36630
Intel Core i7-14650HX,36504
Intel Xeon Gold 6330N @ 2.20GHz,36360
Intel Core i9-12900F,36251
AMD EPYC 4364P,36124
Intel Xeon Gold 5416S,35976
AMD Ryzen 7 7700X,35972
Intel Xeon Platinum 8273CL @ 2.20GHz,35769
Intel Xeon Gold 6248R @ 3.00GHz,35434
AMD Ryzen AI 9 HX 370,35412
Intel Xeon Gold 6326 @ 2.90GHz,35270
Intel Core i9-12900TE,35057
Intel Xeon w5-3433,34849
Intel Core i7-13700E,34728
AMD Ryzen 7 PRO 7745,34652
AMD Ryzen 7 7700,34639
Intel Core i7-12700K,34596
AMD Ryzen 9 PRO 5945,34573
Intel Xeon Gold 6268CL @ 2.80GHz,34558
Intel Xeon Platinum 8268 @ 2.90GHz,34483
AMD EPYC 4344P,34474
AMD Ryzen 9 5900,34397
Intel Core i7-12700KF,34291
Intel Xeon Gold 6242R @ 3.10GHz,34282
Intel Core i9-12900,34278
AMD Ryzen 7 7800X3D,34275
Intel Xeon Silver 4510,34170
Intel Core i9-13900E,34049
Intel Xeon Platinum 8260M @ 2.30GHz,33970
Intel Core i9-12900HX,33940
Intel Xeon Gold 6338 @ 2.00GHz,33814
Intel Xeon W-3265M @ 2.70GHz,33800
Intel Xeon D-2799 @ 2.40GHz,33792
Intel Core i5-14600,33757
Intel Xeon Gold 6230R @ 2.10GHz,33608
Intel Core i7-13700HX,33560
AMD Ryzen Threadripper PRO 3945WX,33546
Intel Xeon Gold 6240R @ 2.40GHz,33353
Intel Xeon Gold 5318Y @ 2.10GHz,33283
AMD EPYC 7601,33255
AMD EPYC 7302,33106
Intel Xeon Platinum 8168 @ 2.70GHz,33099
Intel Xeon Gold 5220R @ 2.20GHz,32837
Intel Xeon Gold 6278C @ 2.60GHz,32835
Intel Xeon Platinum 8280 @ 2.70GHz,32781
Intel Core i9-10980XE @ 3.00GHz,32770
AMD Ryzen 7 7745HX,32768
AMD EPYC 7302P,32669
AMD Ryzen 9 3900XT,32666
AMD Ryzen 9 3900X,32617
Intel Core i9-12950HX,32323
AMD Ryzen Threadripper 2990WX,32193
Intel Xeon w5-2445,32126
Intel Core i7-12800HX,32116
Intel Core i5-14500,32071
Intel Core i9-9980XE @ 3.00GHz,31998
Intel Core i5-13600,31902
AMD Ryzen 7 8700G,31851
Intel Core i5-13500,31799
AMD Ryzen 7 PRO 8700G,31762
Intel Xeon Gold 5320H @ 2.40GHz,31718
AMD Ryzen 9 PRO 3900,31616
Intel Core i9-13900HK,31536
Intel Xeon Gold 6254 @ 3.10GHz,31513
Intel Core i7-13650HX,31448
Intel Xeon Silver 4316 @ 2.30GHz,31341
Intel Core i7-14700T,31254
AMD Ryzen AI 9 HX 375,31176
Intel Xeon Platinum 8259CL @ 2.50GHz,31142
Intel Xeon W-3245 @ 3.20GHz,30922
AMD Ryzen 9 3900,30804
Intel Core i7-12850HX,30797
AMD EPYC 7371,30782
AMD Ryzen 7 8700F,30774
Intel Core i7-12700,30752
Intel Xeon W-2295 @ 3.00GHz,30735
Intel Core i7-12700F,30697
AMD Ryzen Threadripper 2970WX,30669
Intel Xeon Platinum 8171M @ 2.60GHz,30632
AMD EPYC Embedded 7292P,30542
AMD Ryzen 9 PRO 8945HS,30494
AMD EPYC 7282,30474
Intel Xeon Gold 6246R @ 3.40GHz,30468
AMD Ryzen 7 8745H,30448
Intel Core i5-13500HX,30438
AMD Ryzen 9 7940HS,30399
AMD Ryzen 7 8745HS,30371
Intel Xeon Platinum 8260 @ 2.40GHz,30347
Intel Core i9-9960X @ 3.10GHz,30254
Intel Core i9-13905H,30207
AMD Ryzen 9 8945H,30190
Intel Core i9-9990XE @ 4.00GHz,30162
Intel Xeon W-3265 @ 2.70GHz,30105
AMD Ryzen 5 9600X,30081
Intel Core i9-7980XE @ 2.60GHz,30070
Intel Core i9-12900T,30056
Intel Xeon Platinum 8270 @ 2.70GHz,29986
Intel Xeon Gold 6248 @ 2.50GHz,29831
Intel Xeon E-2478,29827
AMD Ryzen 9 8945HS,29826
Intel Core i7-12800HE,29805
AMD Ryzen 7 5800XT,29776
AMD Ryzen Threadripper 2950X,29445
Intel Core i7-12700E,29384
Intel Xeon Gold 5318H @ 2.50GHz,29301
Intel Core Ultra 9 185H,29272
Intel Xeon E-2488,29244
AMD Ryzen 7 PRO 8845HS,29199
Intel Xeon Gold 6148 @ 2.40GHz,29135
Intel Xeon Gold 6154 @ 3.00GHz,29019
Intel Xeon Silver 4314 @ 2.40GHz,28954
Intel Xeon Gold 6210U @ 2.50GHz,28915
AMD Ryzen 7 7840HS,28912
Intel Xeon Silver 4410T,28859
AMD Ryzen 7 8845HS,28852
Intel Core i9-7960X @ 2.80GHz,28849
Intel Xeon Platinum 8160 @ 2.10GHz,28825
Intel Core i9-13900H,28682
Intel Xeon Gold 6238 @ 2.10GHz,28668
Intel Core i5-14490F,28662
AMD Ryzen 9 7940H,28660
AMD Ryzen AI 9 365,28576
AMD EPYC 7303,28572
Intel Xeon Gold 6253CL @ 3.10GHz,28549
AMD EPYC 7401P,28546
AMD Ryzen 5 7600X,28477
