Name,Link,Price
"Dell [Smartchoice] Core i3-1215U, 12th Gen (8GB RAM/512GB SSD/FHD/Window 11/MS Office' 21/15""(38 cm)/15 Month McAfee/Black/1.69kg Laptop",https://www.amazon.in/Dell-Smartchoice-i3-1215U-Processor-Spill-Resistant/dp/B0BQJ68HHC/ref=sr_1_1?dib=eyJ2IjoiMSJ9.BmmLh68OUaY9JSgV2_gv5I7YcnpOGQZuht-Gceany8qw1rYUgtwx4XgnamPllj1ix3wOSM50-Qm4Z1R5eFVy8vL9hJm_hOUgBGPHv7yOXa9vodIJnol7ljmvIp0Vm7HoqD1qd58FLe2mObvhAoIwg-1EVs1pXtzhgJXzdP6XN5fPOPnOlcMUbC-I8YBpwX8lB2wnRTSSeeMsNvhFeCWfZblk-tbdewAjpRDuy_jZbvC_vuBD4LUjKDBbKQQt1j1y4UpgUOOWq8vjwYtcoKEQ_Wa_5gbHlpa45X4YWQk659c.VdZtGjqvxcAtcl_1kgkI0sq68ov7s8zBkj3BeTka48M&dib_tag=se&keywords=laptop&qid=1733912956&refinements=p_36%3A3000000-5000000&rnid=7252027031&s=computers&sr=1-1,33990
"HP Laptop 15s, 12th Gen Intel Core i3, 15.6-inch (39.6 cm), 8GB DDR4, 512GB SSD, Thin & Light, Dual Speakers (Win 11, MSO 2021, Silver, 1.69 kg), fq5007TU / FQ5327TU",https://www.amazon.in/HP-i3-1215U-15-6-inch-Graphics-Speakers/dp/B0BP2M7CCS/ref=sr_1_2?dib=eyJ2IjoiMSJ9.BmmLh68OUaY9JSgV2_gv5I7YcnpOGQZuht-Gceany8qw1rYUgtwx4XgnamPllj1ix3wOSM50-Qm4Z1R5eFVy8vL9hJm_hOUgBGPHv7yOXa9vodIJnol7ljmvIp0Vm7HoqD1qd58FLe2mObvhAoIwg-1EVs1pXtzhgJXzdP6XN5fPOPnOlcMUbC-I8YBpwX8lB2wnRTSSeeMsNvhFeCWfZblk-tbdewAjpRDuy_jZbvC_vuBD4LUjKDBbKQQt1j1y4UpgUOOWq8vjwYtcoKEQ_Wa_5gbHlpa45X4YWQk659c.VdZtGjqvxcAtcl_1kgkI0sq68ov7s8zBkj3BeTka48M&dib_tag=se&keywords=laptop&qid=1733912956&refinements=p_36%3A3000000-5000000&rnid=7252027031&s=computers&sr=1-2,35990
"HP 15S Intel Core i3 12th Gen (8GB Ram/512 GB SSD/Fhd/Windows 11/Ms Office 21/15.6"" (39.6Cm)/Silver/1.69Kg) Fy5006Tu Laptop",https://www.amazon.in/HP-i3-1215U-15-6-inch-Anti-Glare-15s-fy5006TU/dp/B0CJBL2QWY/ref=sr_1_3?dib=eyJ2IjoiMSJ9.BmmLh68OUaY9JSgV2_gv5I7YcnpOGQZuht-Gceany8qw1rYUgtwx4XgnamPllj1ix3wOSM50-Qm4Z1R5eFVy8vL9hJm_hOUgBGPHv7yOXa9vodIJnol7ljmvIp0Vm7HoqD1qd58FLe2mObvhAoIwg-1EVs1pXtzhgJXzdP6XN5fPOPnOlcMUbC-I8YBpwX8lB2wnRTSSeeMsNvhFeCWfZblk-tbdewAjpRDuy_jZbvC_vuBD4LUjKDBbKQQt1j1y4UpgUOOWq8vjwYtcoKEQ_Wa_5gbHlpa45X4YWQk659c.VdZtGjqvxcAtcl_1kgkI0sq68ov7s8zBkj3BeTka48M&dib_tag=se&keywords=laptop&qid=1733912956&refinements=p_36%3A3000000-5000000&rnid=7252027031&s=computers&sr=1-3,35590
"Acer Aspire Lite AMD Ryzen 5-5625U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Windows 11 Home) AL15-41, 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG",https://www.amazon.in/Acer-5-5625U-Premium-Windows-AL15-41/dp/B0DG2GCTD7/ref=sr_1_4?dib=eyJ2IjoiMSJ9.BmmLh68OUaY9JSgV2_gv5I7YcnpOGQZuht-Gceany8qw1rYUgtwx4XgnamPllj1ix3wOSM50-Qm4Z1R5eFVy8vL9hJm_hOUgBGPHv7yOXa9vodIJnol7ljmvIp0Vm7HoqD1qd58FLe2mObvhAoIwg-1EVs1pXtzhgJXzdP6XN5fPOPnOlcMUbC-I8YBpwX8lB2wnRTSSeeMsNvhFeCWfZblk-tbdewAjpRDuy_jZbvC_vuBD4LUjKDBbKQQt1j1y4UpgUOOWq8vjwYtcoKEQ_Wa_5gbHlpa45X4YWQk659c.VdZtGjqvxcAtcl_1kgkI0sq68ov7s8zBkj3BeTka48M&dib_tag=se&keywords=laptop&qid=1733912956&refinements=p_36%3A3000000-5000000&rnid=7252027031&s=computers&sr=1-4,35990
"HP 15S Intel Core i3 12th Gen (8GB Ram/512GB SSD/Fhd/Ms Office 21/Windows 11/15.6"" (39.6Cm)/Silver/1.69 Kg) Fy5011Tu Laptop",https://www.amazon.in/HP-Office-Windows-39-6cm-fy5011TU/dp/B0D4LZMJ5Z/ref=sr_1_5?dib=eyJ2IjoiMSJ9.BmmLh68OUaY9JSgV2_gv5I7YcnpOGQZuht-Gceany8qw1rYUgtwx4XgnamPllj1ix3wOSM50-Qm4Z1R5eFVy8vL9hJm_hOUgBGPHv7yOXa9vodIJnol7ljmvIp0Vm7HoqD1qd58FLe2mObvhAoIwg-1EVs1pXtzhgJXzdP6XN5fPOPnOlcMUbC-I8YBpwX8lB2wnRTSSeeMsNvhFeCWfZblk-tbdewAjpRDuy_jZbvC_vuBD4LUjKDBbKQQt1j1y4UpgUOOWq8vjwYtcoKEQ_Wa_5gbHlpa45X4YWQk659c.VdZtGjqvxcAtcl_1kgkI0sq68ov7s8zBkj3BeTka48M&dib_tag=se&keywords=laptop&qid=1733912956&refinements=p_36%3A3000000-5000000&rnid=7252027031&s=computers&sr=1-5,34990
"Lenovo V14 G3 (2024), Intel Core i5 12th Gen 1235U /16GB/512GB SSD/Intel UHD Graphics/Windows 11/ Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.57 kg/MS Office",https://www.amazon.in/Lenovo-V14-G3-Graphics-Business/dp/B08HJWSGW6/ref=sr_1_6?dib=eyJ2IjoiMSJ9.BmmLh68OUaY9JSgV2_gv5I7YcnpOGQZuht-Gceany8qw1rYUgtwx4XgnamPllj1ix3wOSM50-Qm4Z1R5eFVy8vL9hJm_hOUgBGPHv7yOXa9vodIJnol7ljmvIp0Vm7HoqD1qd58FLe2mObvhAoIwg-1EVs1pXtzhgJXzdP6XN5fPOPnOlcMUbC-I8YBpwX8lB2wnRTSSeeMsNvhFeCWfZblk-tbdewAjpRDuy_jZbvC_vuBD4LUjKDBbKQQt1j1y4UpgUOOWq8vjwYtcoKEQ_Wa_5gbHlpa45X4YWQk659c.VdZtGjqvxcAtcl_1kgkI0sq68ov7s8zBkj3BeTka48M&dib_tag=se&keywords=laptop&qid=1733912956&refinements=p_36%3A3000000-5000000&rnid=7252027031&s=computers&sr=1-6,39440
"Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 15.6 inch (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/3months Game Pass/Arctic Grey/1.63Kg), 82RK00VWIN",https://www.amazon.in/Lenovo-IdeaPad-39-62cm-Windows-82RK00VWIN/dp/B0CR7WG86N/ref=sr_1_7?dib=eyJ2IjoiMSJ9.BmmLh68OUaY9JSgV2_gv5I7YcnpOGQZuht-Gceany8qw1rYUgtwx4XgnamPllj1ix3wOSM50-Qm4Z1R5eFVy8vL9hJm_hOUgBGPHv7yOXa9vodIJnol7ljmvIp0Vm7HoqD1qd58FLe2mObvhAoIwg-1EVs1pXtzhgJXzdP6XN5fPOPnOlcMUbC-I8YBpwX8lB2wnRTSSeeMsNvhFeCWfZblk-tbdewAjpRDuy_jZbvC_vuBD4LUjKDBbKQQt1j1y4UpgUOOWq8vjwYtcoKEQ_Wa_5gbHlpa45X4YWQk659c.VdZtGjqvxcAtcl_1kgkI0sq68ov7s8zBkj3BeTka48M&dib_tag=se&keywords=laptop&qid=1733912956&refinements=p_36%3A3000000-5000000&rnid=7252027031&s=computers&sr=1-7,34473
HP 15S Intel Core i5 12Th Gen (16GB Ram/512GB SSD/Fhd/Ms Office 21 /Backlit Keyboard /15.6-Inch (39.6 Cm)/Fhd/Windows 11/Silver/1.69 Kg) Fy5009Tu/Fd0111Tu Laptop,https://www.amazon.in/HP-Keyboard-15-6-inch-fy5009TU-fd0111tu/dp/B0D4M66F6R/ref=sr_1_8?dib=eyJ2IjoiMSJ9.BmmLh68OUaY9JSgV2_gv5I7YcnpOGQZuht-Gceany8qw1rYUgtwx4XgnamPllj1ix3wOSM50-Qm4Z1R5eFVy8vL9hJm_hOUgBGPHv7yOXa9vodIJnol7ljmvIp0Vm7HoqD1qd58FLe2mObvhAoIwg-1EVs1pXtzhgJXzdP6XN5fPOPnOlcMUbC-I8YBpwX8lB2wnRTSSeeMsNvhFeCWfZblk-tbdewAjpRDuy_jZbvC_vuBD4LUjKDBbKQQt1j1y4UpgUOOWq8vjwYtcoKEQ_Wa_5gbHlpa45X4YWQk659c.VdZtGjqvxcAtcl_1kgkI0sq68ov7s8zBkj3BeTka48M&dib_tag=se&keywords=laptop&qid=1733912956&refinements=p_36%3A3000000-5000000&rnid=7252027031&s=computers&sr=1-8,48990
"HONOR MagicBook X16 (2024), 12th Gen Intel Core i5-12450H, 16-inch (40.64 cm) FHD IPS Anti-Glare Thin and Light Laptop (16GB/512GB PCIe SSD/Windows 11/ Full-Size Numeric Keyboard /1.68Kg), Gray",https://www.amazon.in/MagicBook-i5-12450H-Anti-Glare-Full-Size-Keyboard/dp/B0CRQB4HBP/ref=sr_1_9?dib=eyJ2IjoiMSJ9.BmmLh68OUaY9JSgV2_gv5I7YcnpOGQZuht-Gceany8qw1rYUgtwx4XgnamPllj1ix3wOSM50-Qm4Z1R5eFVy8vL9hJm_hOUgBGPHv7yOXa9vodIJnol7ljmvIp0Vm7HoqD1qd58FLe2mObvhAoIwg-1EVs1pXtzhgJXzdP6XN5fPOPnOlcMUbC-I8YBpwX8lB2wnRTSSeeMsNvhFeCWfZblk-tbdewAjpRDuy_jZbvC_vuBD4LUjKDBbKQQt1j1y4UpgUOOWq8vjwYtcoKEQ_Wa_5gbHlpa45X4YWQk659c.VdZtGjqvxcAtcl_1kgkI0sq68ov7s8zBkj3BeTka48M&dib_tag=se&keywords=laptop&qid=1733912956&refinements=p_36%3A3000000-5000000&rnid=7252027031&s=computers&sr=1-9,39990
HP 15s Ryzen 5000 (16GB RAM/512GB SSD/FHD/Windows 11/MS Office 21/Backlit Keyboard/ 15.6” (39.6 cm)/Silver/2.21 KG) eq2305AU/eq2182au Laptop,https://www.amazon.in/HP-Windows-Keyboard-eq2305AU-eq2182au/dp/B0B4N77Y34/ref=sr_1_10?dib=eyJ2IjoiMSJ9.BmmLh68OUaY9JSgV2_gv5I7YcnpOGQZuht-Gceany8qw1rYUgtwx4XgnamPllj1ix3wOSM50-Qm4Z1R5eFVy8vL9hJm_hOUgBGPHv7yOXa9vodIJnol7ljmvIp0Vm7HoqD1qd58FLe2mObvhAoIwg-1EVs1pXtzhgJXzdP6XN5fPOPnOlcMUbC-I8YBpwX8lB2wnRTSSeeMsNvhFeCWfZblk-tbdewAjpRDuy_jZbvC_vuBD4LUjKDBbKQQt1j1y4UpgUOOWq8vjwYtcoKEQ_Wa_5gbHlpa45X4YWQk659c.VdZtGjqvxcAtcl_1kgkI0sq68ov7s8zBkj3BeTka48M&dib_tag=se&keywords=laptop&qid=1733912956&refinements=p_36%3A3000000-5000000&rnid=7252027031&s=computers&sr=1-10,42920
