Name,Link,Price,Performance,Team,Processor,RAM,Storage,Price2Performance
"Dell [Smartchoice] Core i3-1215U, 12th Gen (8GB RAM/512GB SSD/FHD/Window 11/MS Office' 21/15""(38 cm)/15 Month McAfee/Black/1.69kg Laptop",https://www.amazon.in/Dell-Smartchoice-i3-1215U-Processor-Spill-Resistant/dp/B0BQJ68HHC/ref=sr_1_1?dib=eyJ2IjoiMSJ9.BmmLh68OUaY9JSgV2_gv5I7YcnpOGQZuht-Gceany8qw1rYUgtwx4XgnamPllj1ix3wOSM50-Qm4Z1R5eFVy8vL9hJm_hOUgBGPHv7yOXa9vodIJnol7ljmvIp0Vm7HoqD1qd58FLe2mObvhAoIwg-1EVs1pXtzhgJXzdP6XN5fPOPnOlcMUbC-I8YBpwX8lB2wnRTSSeeMsNvhFeCWfZblk-tbdewAjpRDuy_jZbvC_vuBD4LUjKDBbKQQt1j1y4UpgUOOWq8vjwYtcoKEQ_Wa_5gbHlpa45X4YWQk659c.P2Ld-AeTEX8Zg98cUxtce-oKGj6xrQCZeGyL4-sNhUU&dib_tag=se&keywords=laptop&qid=1733911510&refinements=p_36%3A3000000-5000000&rnid=7252027031&s=computers&sr=1-1,33990,10839,Intel,1215U,8,512,3.135898145585386
"Acer Aspire Lite AMD Ryzen 5-5625U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Windows 11 Home) AL15-41, 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG",https://www.amazon.in/Acer-5-5625U-Premium-Windows-AL15-41/dp/B0DG2GCTD7/ref=sr_1_4?dib=eyJ2IjoiMSJ9.BmmLh68OUaY9JSgV2_gv5I7YcnpOGQZuht-Gceany8qw1rYUgtwx4XgnamPllj1ix3wOSM50-Qm4Z1R5eFVy8vL9hJm_hOUgBGPHv7yOXa9vodIJnol7ljmvIp0Vm7HoqD1qd58FLe2mObvhAoIwg-1EVs1pXtzhgJXzdP6XN5fPOPnOlcMUbC-I8YBpwX8lB2wnRTSSeeMsNvhFeCWfZblk-tbdewAjpRDuy_jZbvC_vuBD4LUjKDBbKQQt1j1y4UpgUOOWq8vjwYtcoKEQ_Wa_5gbHlpa45X4YWQk659c.P2Ld-AeTEX8Zg98cUxtce-oKGj6xrQCZeGyL4-sNhUU&dib_tag=se&keywords=laptop&qid=1733911510&refinements=p_36%3A3000000-5000000&rnid=7252027031&s=computers&sr=1-4,35990,14913,AMD,5625U,16,512,2.41333065110977
"Lenovo V14 G3 (2024), Intel Core i5 12th Gen 1235U /16GB/512GB SSD/Intel UHD Graphics/Windows 11/ Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.57 kg/MS Office",https://www.amazon.in/Lenovo-V14-G3-Graphics-Business/dp/B08HJWSGW6/ref=sr_1_6?dib=eyJ2IjoiMSJ9.BmmLh68OUaY9JSgV2_gv5I7YcnpOGQZuht-Gceany8qw1rYUgtwx4XgnamPllj1ix3wOSM50-Qm4Z1R5eFVy8vL9hJm_hOUgBGPHv7yOXa9vodIJnol7ljmvIp0Vm7HoqD1qd58FLe2mObvhAoIwg-1EVs1pXtzhgJXzdP6XN5fPOPnOlcMUbC-I8YBpwX8lB2wnRTSSeeMsNvhFeCWfZblk-tbdewAjpRDuy_jZbvC_vuBD4LUjKDBbKQQt1j1y4UpgUOOWq8vjwYtcoKEQ_Wa_5gbHlpa45X4YWQk659c.P2Ld-AeTEX8Zg98cUxtce-oKGj6xrQCZeGyL4-sNhUU&dib_tag=se&keywords=laptop&qid=1733911510&refinements=p_36%3A3000000-5000000&rnid=7252027031&s=computers&sr=1-6,39440,13387,Intel,1235U,16,512,2.9461417793381637
"HONOR MagicBook X16 (2024), 12th Gen Intel Core i5-12450H, 16-inch (40.64 cm) FHD IPS Anti-Glare Thin and Light Laptop (16GB/512GB PCIe SSD/Windows 11/ Full-Size Numeric Keyboard /1.68Kg), Gray",https://www.amazon.in/MagicBook-i5-12450H-Anti-Glare-Full-Size-Keyboard/dp/B0CRQB4HBP/ref=sr_1_9?dib=eyJ2IjoiMSJ9.BmmLh68OUaY9JSgV2_gv5I7YcnpOGQZuht-Gceany8qw1rYUgtwx4XgnamPllj1ix3wOSM50-Qm4Z1R5eFVy8vL9hJm_hOUgBGPHv7yOXa9vodIJnol7ljmvIp0Vm7HoqD1qd58FLe2mObvhAoIwg-1EVs1pXtzhgJXzdP6XN5fPOPnOlcMUbC-I8YBpwX8lB2wnRTSSeeMsNvhFeCWfZblk-tbdewAjpRDuy_jZbvC_vuBD4LUjKDBbKQQt1j1y4UpgUOOWq8vjwYtcoKEQ_Wa_5gbHlpa45X4YWQk659c.P2Ld-AeTEX8Zg98cUxtce-oKGj6xrQCZeGyL4-sNhUU&dib_tag=se&keywords=laptop&qid=1733911510&refinements=p_36%3A3000000-5000000&rnid=7252027031&s=computers&sr=1-9,39990,16984,Intel,12450H,16,512,2.3545690061234104
"HP Laptop 15s, AMD Ryzen 3 5300U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon Graphics, Thin & Light, Dual Speakers (Win 11, MSO 2019, Silver, 1.69 kg), eq2143AU/eq2212au",https://www.amazon.in/HP-15-6inch-Micro-Edge-Anti-Glare-15s-Eq2143au/dp/B09R1MMMTH/ref=sr_1_11?dib=eyJ2IjoiMSJ9.BmmLh68OUaY9JSgV2_gv5I7YcnpOGQZuht-Gceany8qw1rYUgtwx4XgnamPllj1ix3wOSM50-Qm4Z1R5eFVy8vL9hJm_hOUgBGPHv7yOXa9vodIJnol7ljmvIp0Vm7HoqD1qd58FLe2mObvhAoIwg-1EVs1pXtzhgJXzdP6XN5fPOPnOlcMUbC-I8YBpwX8lB2wnRTSSeeMsNvhFeCWfZblk-tbdewAjpRDuy_jZbvC_vuBD4LUjKDBbKQQt1j1y4UpgUOOWq8vjwYtcoKEQ_Wa_5gbHlpa45X4YWQk659c.P2Ld-AeTEX8Zg98cUxtce-oKGj6xrQCZeGyL4-sNhUU&dib_tag=se&keywords=laptop&qid=1733911510&refinements=p_36%3A3000000-5000000&rnid=7252027031&s=computers&sr=1-11,31999,9693,AMD,5300U,8,512,3.301248323532446
"DELL Latitude 3540 (2024) Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Intel UHD Graphics/Windows 11) Thin and Light Business Laptop/15.6"" HD Display/Smoky Black/1.8 kg/MS Office 2021",https://www.amazon.in/DELL-Latitude-3540-Intel-1215U/dp/B08YDRQ46G/ref=sr_1_12?dib=eyJ2IjoiMSJ9.BmmLh68OUaY9JSgV2_gv5I7YcnpOGQZuht-Gceany8qw1rYUgtwx4XgnamPllj1ix3wOSM50-Qm4Z1R5eFVy8vL9hJm_hOUgBGPHv7yOXa9vodIJnol7ljmvIp0Vm7HoqD1qd58FLe2mObvhAoIwg-1EVs1pXtzhgJXzdP6XN5fPOPnOlcMUbC-I8YBpwX8lB2wnRTSSeeMsNvhFeCWfZblk-tbdewAjpRDuy_jZbvC_vuBD4LUjKDBbKQQt1j1y4UpgUOOWq8vjwYtcoKEQ_Wa_5gbHlpa45X4YWQk659c.P2Ld-AeTEX8Zg98cUxtce-oKGj6xrQCZeGyL4-sNhUU&dib_tag=se&keywords=laptop&qid=1733911510&refinements=p_36%3A3000000-5000000&rnid=7252027031&s=computers&sr=1-12,33100,10839,Intel,1215U,16,512,3.0537872497462866
"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Integrated AMD Graphics/Windows 11 Home/MSO 21/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN",https://www.amazon.in/Lenovo-IdeaPad-Laptop-Windows-82R400ERIN/dp/B0CP2KRYLM/ref=sr_1_13?dib=eyJ2IjoiMSJ9.BmmLh68OUaY9JSgV2_gv5I7YcnpOGQZuht-Gceany8qw1rYUgtwx4XgnamPllj1ix3wOSM50-Qm4Z1R5eFVy8vL9hJm_hOUgBGPHv7yOXa9vodIJnol7ljmvIp0Vm7HoqD1qd58FLe2mObvhAoIwg-1EVs1pXtzhgJXzdP6XN5fPOPnOlcMUbC-I8YBpwX8lB2wnRTSSeeMsNvhFeCWfZblk-tbdewAjpRDuy_jZbvC_vuBD4LUjKDBbKQQt1j1y4UpgUOOWq8vjwYtcoKEQ_Wa_5gbHlpa45X4YWQk659c.P2Ld-AeTEX8Zg98cUxtce-oKGj6xrQCZeGyL4-sNhUU&dib_tag=se&keywords=laptop&qid=1733911510&refinements=p_36%3A3000000-5000000&rnid=7252027031&s=computers&sr=1-13,41190,13018,AMD,5500U,16,512,3.1640805039176523
"HP Laptop 250 G9 (2024), Intel Core i3 12th Gen 1215U - (16GB/512GB SSD/Intel Iris Xe Graphics/Windows 11 Pro) Thin and Light Business Laptop/15.6"" (39.62cm)/Silver/1.57 kg/MS Office 2021 Pro Plus",https://www.amazon.in/HP-Laptop-250-Intel-1215U/dp/B0DJCSYLFJ/ref=sr_1_14?dib=eyJ2IjoiMSJ9.BmmLh68OUaY9JSgV2_gv5I7YcnpOGQZuht-Gceany8qw1rYUgtwx4XgnamPllj1ix3wOSM50-Qm4Z1R5eFVy8vL9hJm_hOUgBGPHv7yOXa9vodIJnol7ljmvIp0Vm7HoqD1qd58FLe2mObvhAoIwg-1EVs1pXtzhgJXzdP6XN5fPOPnOlcMUbC-I8YBpwX8lB2wnRTSSeeMsNvhFeCWfZblk-tbdewAjpRDuy_jZbvC_vuBD4LUjKDBbKQQt1j1y4UpgUOOWq8vjwYtcoKEQ_Wa_5gbHlpa45X4YWQk659c.P2Ld-AeTEX8Zg98cUxtce-oKGj6xrQCZeGyL4-sNhUU&dib_tag=se&keywords=laptop&qid=1733911510&refinements=p_36%3A3000000-5000000&rnid=7252027031&s=computers&sr=1-14,35500,10839,Intel,1215U,16,512,3.2752098902112743
"Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Integrated AMD Graphics/Windows 11/Office 2021/HD Camera/1 Year ADP Free/Grey/1.6Kg), 82R400BRIN",https://www.amazon.in/Lenovo-IdeaPad-39-62cm-Windows-82R400BGIN/dp/B09MM58Y7Q/ref=sr_1_15?dib=eyJ2IjoiMSJ9.BmmLh68OUaY9JSgV2_gv5I7YcnpOGQZuht-Gceany8qw1rYUgtwx4XgnamPllj1ix3wOSM50-Qm4Z1R5eFVy8vL9hJm_hOUgBGPHv7yOXa9vodIJnol7ljmvIp0Vm7HoqD1qd58FLe2mObvhAoIwg-1EVs1pXtzhgJXzdP6XN5fPOPnOlcMUbC-I8YBpwX8lB2wnRTSSeeMsNvhFeCWfZblk-tbdewAjpRDuy_jZbvC_vuBD4LUjKDBbKQQt1j1y4UpgUOOWq8vjwYtcoKEQ_Wa_5gbHlpa45X4YWQk659c.P2Ld-AeTEX8Zg98cUxtce-oKGj6xrQCZeGyL4-sNhUU&dib_tag=se&keywords=laptop&qid=1733911510&refinements=p_36%3A3000000-5000000&rnid=7252027031&s=computers&sr=1-15,38190,13018,AMD,5500U,8,512,2.9336303579658933
"ASUS Vivobook 16, IntelCore™ i3-1215U 12th Gen, Thin and Light Laptop, 16-inch (40.64 cm) FHD+, (8 GB RAM/512GB SSD/Windows 11/Fingerprint/Black/1.88kg), X1605ZAB-MB322WS",https://www.amazon.in/ASUS-Vivobook-Intel%C2%AECoreTM-FingerPrint-X1605ZAB-MB322WS/dp/B0CFVYSZFG/ref=sr_1_16?dib=eyJ2IjoiMSJ9.BmmLh68OUaY9JSgV2_gv5I7YcnpOGQZuht-Gceany8qw1rYUgtwx4XgnamPllj1ix3wOSM50-Qm4Z1R5eFVy8vL9hJm_hOUgBGPHv7yOXa9vodIJnol7ljmvIp0Vm7HoqD1qd58FLe2mObvhAoIwg-1EVs1pXtzhgJXzdP6XN5fPOPnOlcMUbC-I8YBpwX8lB2wnRTSSeeMsNvhFeCWfZblk-tbdewAjpRDuy_jZbvC_vuBD4LUjKDBbKQQt1j1y4UpgUOOWq8vjwYtcoKEQ_Wa_5gbHlpa45X4YWQk659c.P2Ld-AeTEX8Zg98cUxtce-oKGj6xrQCZeGyL4-sNhUU&dib_tag=se&keywords=laptop&qid=1733911510&refinements=p_36%3A3000000-5000000&rnid=7252027031&s=computers&sr=1-16,33990,10839,Intel,1215U,8,512,3.135898145585386
